Keyword,Similarity Score
"[('zoloft anxiety', 0.6363), ('diagnosed adhd', 0.5875), ('ive misdiagnosed', 0.3626), ('game changer', 0.3113), ('life finally', 0.1552)]",0.68885374
"[('menopause adhd', 0.7578), ('adhd asds', 0.7445), ('depression diagnosed', 0.5452), ('asds', 0.482), ('diagnosed', 0.3768)]",0.6877675
"[('ocd adhd', 0.7598), ('anxiety ocd', 0.7095), ('bipolar depression', 0.6667), ('depression', 0.4394), ('anxiety', 0.406)]",0.68773353
"[('want antidepressant', 0.6271), ('feeling awful', 0.4687), ('im going', 0.205), ('dont', 0.1466), ('thank wise', 0.1236)]",0.6815482
"[('cptsd anxiety', 0.7808), ('anxiety disorder', 0.6781), ('agoraphobia', 0.5988), ('panic', 0.4269), ('diagnosed', 0.3343)]",0.6814122
"[('insomnia anxiety', 0.8161), ('anxiety', 0.5048), ('rumination', 0.4914), ('depression', 0.4368), ('suffer', 0.1901)]",0.67868805
"[('anxiety depression', 0.7898), ('functioning anxiety', 0.7775), ('depression', 0.5681), ('high functioning', 0.5484), ('high', 0.3653)]",0.6777272
"[('symptom anxiety', 0.6908), ('constant shortness', 0.3131), ('barely feel', 0.2682), ('breath hospital', 0.245), ('ive physical', 0.2007)]",0.6770717
"[('haemophilic migraine', 0.974), ('suffer haemophilic', 0.7207), ('migraine', 0.7161), ('haemophilic', 0.595), ('suffer', 0.362)]",0.6764755
"[('feeling bpd', 0.756), ('symptom depression', 0.6439), ('emotionless', 0.5148), ('feeling', 0.4096), ('didnt know', 0.0717)]",0.6753712
"[('cbt therapy', 0.7074), ('gad agoraphobia', 0.6254), ('ptsd', 0.5062), ('panic', 0.348), ('worked wonder', 0.1072)]",0.6749681
"[('anxiety intrusive', 0.8544), ('intrusive thought', 0.7749), ('anxiety', 0.7719), ('intrusive', 0.4679), ('thought', 0.3671)]",0.674435
"[('ocd anxiety', 0.7108), ('question adhd', 0.6907), ('depression question', 0.496), ('ok believe', 0.138), ('question', 0.1378)]",0.67428744
"[('nausea vomiting', 0.6865), ('bloating pulsating', 0.4792), ('ive daily', 0.2665), ('paincramping', 0.2507), ('lost lb', 0.2095)]",0.67374206
"[('autistic burnout', 0.7899), ('depressión tip', 0.5567), ('im autistic', 0.496), ('doctor im', 0.3831), ('feel like', 0.2646)]",0.6735784
"[('adhd anxiety', 0.8447), ('anxious', 0.4846), ('symptom add', 0.4384), ('dr decipher', 0.2028), ('add', 0.1518)]",0.67317486
